sector_id,sector_name,district,model_vulnerability_score,proxy_score,scenario,model_weight,indicator_weight,hybrid_score,hybrid_class,hybrid_rank,baseline_60_40_rank,rank_change_from_60_40,in_top_10
RWA.1.4.8_1,Muhoza,Musanze,0.5544373847628482,0.2429318962460824,recommended_model_60_indicator_40,0.6,0.4,0.4298351893561419,Medium,20,20,0,False
RWA.5.3.4_1,Kimisagara,Nyarugenge,0.42243122156250856,0.4405804353541357,recommended_model_60_indicator_40,0.6,0.4,0.42969090707915947,Medium,21,21,0,False
RWA.5.3.2_1,Kanyinya,Nyarugenge,0.4889751276191128,0.3272753144539934,recommended_model_60_indicator_40,0.6,0.4,0.42429520235306506,Medium,22,22,0,False
RWA.1.4.2_1,Cyuve,Musanze,0.48730753382336056,0.2903992812044433,recommended_model_60_indicator_40,0.6,0.4,0.40854423277579366,Medium,23,23,0,False
RWA.5.1.12_1,Nduba,Gasabo,0.44724355429099283,0.3090924464295181,recommended_model_60_indicator_40,0.6,0.4,0.39198311114640294,Medium,24,24,0,False
RWA.5.1.5_1,Jabana,Gasabo,0.3874615772982278,0.2882546292574698,recommended_model_60_indicator_40,0.6,0.4,0.3477787980819246,Medium,25,25,0,False
RWA.5.3.5_1,Mageregere,Nyarugenge,0.3910788861068418,0.2800841808447797,recommended_model_60_indicator_40,0.6,0.4,0.34668100400201696,Medium,26,26,0,False
RWA.5.3.3_1,Kigali,Nyarugenge,0.36568358092996395,0.2544570041276887,recommended_model_60_indicator_40,0.6,0.4,0.3211929502090538,Medium,27,27,0,False
RWA.5.2.8_1,Masaka,Kicukiro,0.37895410892613496,0.1579712087760667,recommended_model_60_indicator_40,0.6,0.4,0.2905609488661076,Medium,28,28,0,False
RWA.5.1.2_1,Gatsata,Gasabo,0.2982521519171165,0.2784616817960349,recommended_model_60_indicator_40,0.6,0.4,0.2903359638686839,Medium,29,29,0,False
RWA.5.2.6_1,Kicukiro,Kicukiro,0.3206836280136834,0.2417520070579284,recommended_model_60_indicator_40,0.6,0.4,0.2891109796313814,Medium,30,30,0,False
RWA.5.1.1_1,Bumbogo,Gasabo,0.3158579297832985,0.2149336613869248,recommended_model_60_indicator_40,0.6,0.4,0.275488222424749,Medium,31,31,0,False
RWA.5.1.4_1,Gisozi,Gasabo,0.2545024933490333,0.3067380051896409,recommended_model_60_indicator_40,0.6,0.4,0.27539669808527634,Medium,32,32,0,False
RWA.5.3.6_1,Muhima,Nyarugenge,0.2681986017454431,0.2642044247024577,recommended_model_60_indicator_40,0.6,0.4,0.26660093092824894,Medium,33,33,0,False
RWA.5.2.2_1,Gatenga,Kicukiro,0.29933854352334177,0.2156375855440717,recommended_model_60_indicator_40,0.6,0.4,0.26585816033163373,Low,34,34,0,False
RWA.5.2.3_1,Gikondo,Kicukiro,0.2775972788788799,0.2221388923913258,recommended_model_60_indicator_40,0.6,0.4,0.2554139242838583,Low,35,35,0,False
RWA.5.2.4_1,Kagarama,Kicukiro,0.3114946594871306,0.1610311820554308,recommended_model_60_indicator_40,0.6,0.4,0.2513092685144507,Low,36,36,0,False
RWA.5.3.8_1,Nyamirambo,Nyarugenge,0.2577973842962659,0.2405879256891908,recommended_model_60_indicator_40,0.6,0.4,0.25091360085343584,Low,37,37,0,False
RWA.5.1.13_1,Remera,Gasabo,0.24095487498714802,0.2319237891238495,recommended_model_60_indicator_40,0.6,0.4,0.2373424406418286,Low,38,38,0,False
RWA.5.2.7_1,Kigarama,Kicukiro,0.2247665050176588,0.2555188662962006,recommended_model_60_indicator_40,0.6,0.4,0.23706744952907552,Low,39,39,0,False
RWA.5.2.5_1,Kanombe,Kicukiro,0.2668802306814894,0.1703263244411434,recommended_model_60_indicator_40,0.6,0.4,0.228258668185351,Low,40,40,0,False
RWA.5.3.9_1,Nyarugenge,Nyarugenge,0.23990425643582888,0.1860084281468038,recommended_model_60_indicator_40,0.6,0.4,0.21834592512021883,Low,41,41,0,False
RWA.5.1.7_1,Kacyiru,Gasabo,0.18602919295309006,0.2329120553974533,recommended_model_60_indicator_40,0.6,0.4,0.20478233793083536,Low,42,42,0,False
RWA.5.1.11_1,Ndera,Gasabo,0.18272222117186745,0.2188736158788271,recommended_model_60_indicator_40,0.6,0.4,0.1971827790546513,Low,43,43,0,False
RWA.5.2.9_1,Niboye,Kicukiro,0.184769848890699,0.2128357883315653,recommended_model_60_indicator_40,0.6,0.4,0.19599622466704553,Low,44,44,0,False
RWA.5.1.8_1,Kimihurura,Gasabo,0.1950951342085419,0.194568267731122,recommended_model_60_indicator_40,0.6,0.4,0.19488438761757396,Low,45,45,0,False
RWA.5.2.10_1,Nyarugunga,Kicukiro,0.19715773330872188,0.1715423609508977,recommended_model_60_indicator_40,0.6,0.4,0.1869115843655922,Low,46,46,0,False
RWA.5.2.1_1,Gahanga,Kicukiro,0.18560052101552532,0.1503736702268057,recommended_model_60_indicator_40,0.6,0.4,0.17150978070003747,Low,47,47,0,False
RWA.5.1.14_1,Rusororo,Gasabo,0.094012713007372,0.2768479057334599,recommended_model_60_indicator_40,0.6,0.4,0.16714679009780717,Low,48,48,0,False
RWA.5.1.9_1,Kimironko,Gasabo,0.1109567370569524,0.2356246404101854,recommended_model_60_indicator_40,0.6,0.4,0.1608238983982456,Low,49,49,0,False
RWA.5.1.10_1,Kinyinya,Gasabo,0.08075023923595501,0.2314513902420026,recommended_model_60_indicator_40,0.6,0.4,0.14103069963837406,Low,50,50,0,False
